Timestamp,Output Angle [deg],Motor Angle [deg],Calibrated Motor Angle [deg],Angular Velocity [rad/s],Target Torque [Nm],Current Torque [Nm],Is Holding
1752495152.9784348,180.28405317769133,1326.5864042114902,1081.704319066148,1.643737942450873,-0.08583448288099439,-0.08351785717898279,False
1752495152.9892535,181.0860673685817,1329.058365758755,1086.5164042114902,1.3022286651599224,-0.07905707151700907,-0.07950315008320644,False
1752495153.000339,181.4980609597925,1329.0913252460518,1088.988365758755,0.6487781460563369,0.0,-0.007950315008320635,True
1752495153.0112922,181.5035542076753,1327.9377431906616,1089.021325246052,0.008711466295698913,0.0,-0.0007950315008320632,True
1752495153.0227566,181.31129053177696,1326.4216067750058,1087.8677431906617,-0.29828440921196175,0.0,-7.950315008320625e-05,True
1752495153.033869,181.05860112916764,1324.0814831769285,1086.3516067750058,-0.3966289249348369,0.0,-7.95031500832062e-06,True
1752495153.044769,180.66858052948808,1322.1368734264136,1084.0114831769286,-0.615341487812583,0.0,-7.95031500832062e-07,True
1752495153.0560944,180.34447890440228,1320.1922636758984,1082.0668734264136,-0.5160222224737403,0.0,-7.95031500832062e-08,True
1752495153.067039,180.02037727931642,1319.3023575188831,1080.1222636758985,-0.49863747598624153,0.0,-7.950315008320623e-09,True
1752495153.077806,179.87205958648053,1319.6978713664455,1079.2323575188832,-0.24071098929766227,0.0,-7.950315008320618e-10,False
1752495153.088975,179.93797856107426,1320.0274662394143,1079.6278713664456,0.10236222366714481,-0.004321677917840393,-0.0038895102055595044,False
1752495153.1000016,179.9929110399024,1320.0274662394143,1079.9574662394143,0.08761192960119013,-0.004289565300750572,-0.004249559791231466,False
1752495153.1109202,179.9929110399024,1319.9945067521173,1079.9574662394143,0.0,9.103117930893413e-05,-0.0003430279177451057,False
1752495153.1221104,179.98741779201956,1319.9615472648204,1079.9245067521174,-0.008657638556654385,0.0005944533302271787,0.0005007052054299503,False
1752495153.132903,179.98192454413675,1319.9945067521173,1079.8915472648205,-0.008708070674457167,0.0006675151577170146,0.0006508341624883082,False
1752495153.143967,179.98741779201956,1320.0274662394143,1079.9245067521174,0.008741576359196503,-0.00027550741556536573,-0.0001828732577599984,False
1752495153.1552982,179.9929110399024,1320.060425726711,1079.9574662394143,0.008605392588903976,-0.0003392384501362647,-0.0003236019308986381,False
1752495153.1665292,179.99840428778518,1320.0933852140079,1079.990425726711,0.008564886704732485,-0.0004077533798489998,-0.0003993382349539636,False
1752495153.1778033,180.003897535668,1320.0933852140079,1080.023385214008,0.008291853015150577,0.0,-3.993382349539636e-05,True
1752495153.1888094,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539637e-06,True
1752495153.1996648,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539638e-07,True
1752495153.2110393,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539639e-08,True
1752495153.2223258,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539638e-09,True
1752495153.2336292,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.9933823495396376e-10,True
1752495153.2452283,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.9933823495396376e-11,True
1752495153.2568166,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539635e-12,True
1752495153.268101,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539635e-13,True
1752495153.2789686,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539633e-14,True
1752495153.2900772,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539629e-15,True
1752495153.301334,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539631e-16,True
1752495153.31264,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539632e-17,True
1752495153.3235745,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539628e-18,True
1752495153.33495,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539628e-19,True
1752495153.3462186,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539625e-20,True
1752495153.3574505,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.9933823495396264e-21,True
1752495153.3687866,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539622e-22,True
1752495153.379977,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539619e-23,True
1752495153.3910513,180.003897535668,1320.0933852140079,1080.023385214008,0.0,0.0,-3.993382349539619e-24,True
1752495153.401948,180.003897535668,1320.1263447013048,1080.023385214008,0.0,0.0,-3.993382349539619e-25,True
1752495153.4129233,180.0093907835508,1320.1922636758984,1080.0563447013049,0.008762338388768604,0.0,-3.9933823495396163e-26,True
1752495153.4238188,180.02037727931642,1320.2911421377892,1080.1222636758985,0.017359752883795845,0.0,-3.993382349539615e-27,True
1752495153.4347286,180.03685702296488,1320.4229800869766,1080.2211421377892,0.02669299672598734,0.0,-3.9933823495396138e-28,True
1752495153.4456828,180.05883001449612,1320.6536964980546,1080.3529800869767,0.03460373424629749,0.0,-3.9933823495396146e-29,True
1752495153.4567497,180.09728274967577,1320.9832913710231,1080.5836964980547,0.06086028646830765,0.0,-3.993382349539615e-30,True
1752495153.4675357,180.15221522850388,1321.8072785534448,1080.9132913710232,0.08910085874242585,0.0,-3.993382349539615e-31,True
1752495153.4784307,180.28954642557414,1322.9279011215383,1081.7372785534449,0.21917785584514507,0.0,-3.993382349539614e-32,True
1752495153.4895005,180.47631685358974,1324.5099565117878,1082.8579011215384,0.296517455063896,0.0,-3.993382349539613e-33,True
1752495153.5005386,180.73999275196465,1327.5422293430993,1084.4399565117878,0.41436231656313627,0.0,-3.993382349539611e-34,True
1752495153.5113375,181.24537155718323,1331.8269626916915,1087.4722293430993,0.8176625470145013,0.0,-3.9933823495396105e-35,True
1752495153.5225124,181.9594937819486,1336.8697642481118,1091.7569626916916,1.1227615265546662,0.0,-3.9933823495396105e-36,True
1752495153.5336437,182.79996070801863,1343.2968642710002,1096.7997642481118,1.310092824957328,0.0,-3.9933823495396105e-37,True
1752495153.5446665,183.87114404516672,1351.0423437857633,1103.2268642710003,1.7063507595881067,0.0,-3.993382349539609e-38,True
1752495153.5556576,185.16205729762723,1359.6447699702449,1110.9723437857633,2.062340120115318,0.0,-3.9933823495396057e-39,False
1752495153.5666661,186.59579499504082,1369.334859235523,1119.574769970245,2.250100308103909,-0.19701638394526222,-0.177314745550736,False
1752495153.5781524,188.2108098725872,1380.211490043488,1129.264859235523,2.498335208334967,-0.22999338972046657,-0.22472552530349352,False
1752495153.589383,190.0235816739147,1392.1428244449532,1140.1414900434881,2.788872046175475,-0.2675034561109185,-0.263225663030176,False
1752495153.6003435,192.01213740749222,1404.304875257496,1152.0728244449533,3.1464618704163887,-0.31044657030521183,-0.30572447957770826,False
1752495153.6113741,194.03914587624934,1415.8406958113985,1164.234875257496,3.199076586851989,-0.3384355730075983,-0.3351644636646093,False
1752495153.6227467,195.9617826352331,1427.1787594415198,1175.7706958113986,2.997710346674103,-0.352213908856183,-0.3505089643370256,False
1752495153.634062,197.85145990691998,1438.2201876859692,1187.1087594415199,2.878872833294573,-0.3694880481560304,-0.36759013977412996,False
1752495153.6451256,199.69169794766154,1449.5582513160905,1198.1501876859693,2.9290011208564377,-0.3943675207676608,-0.39168978266830773,False
1752495153.6566062,201.58137521934842,1460.7315175097276,1209.4882513160906,2.9006650977697115,-0.4156585096225571,-0.4132616369271322,False
1752495153.6676176,203.44358625162127,1472.8935683222705,1220.6615175097277,2.8755683450599467,-0.43649356264524497,-0.4341703700734337,False
1752495153.678726,205.47059472037844,1485.6159304188602,1232.8235683222706,3.2211602571212254,-0.47746569367126035,-0.4731361613114777,False
1752495153.6897604,207.59098840314337,1498.733806363012,1245.5459304188603,3.3787287680076994,-0.5097039403172613,-0.5060471624166829,False
1752495153.700869,209.77730106050203,1512.6756694895855,1258.663806363012,3.396382621631823,-0.5352147553566166,-0.5322979960626232,False
1752495153.7117486,212.10094491493092,1527.3426413366903,1272.6056694895856,3.7109164486029385,-0.5765326061486307,-0.57210914514003,False
1752495153.722879,214.54544022278174,1542.7676813916228,1287.2726413366904,3.914251767962573,-0.6129267317435928,-0.6088449730832365,False
1752495153.7342641,217.11628023193714,1559.3792629892423,1302.6976813916228,3.886838595933307,-0.6383189307138071,-0.63537153495075,False
1752495153.7450535,219.88487716487373,1578.2980086976424,1319.3092629892424,4.46939197346772,-0.6952671680615358,-0.6892776047504572,False
