Timestamp,Output Angle [deg],Angular Velocity [dps],Gravity Torque [Nm],Friction Torque [Nm],Damping Torque [Nm],Target Torque [Nm],Applied Torque [Nm],Is Holding
1752828746.830611,175.99382658121615,-32.150291414417204,0.0,0.0,0.0,0.0,0.0,True
1752828746.8425379,175.99382658121615,-32.494940836195205,0.0,0.0,0.0,0.0,0.0,True
1752828746.8536377,175.99382658121615,-32.830016680537724,0.0,0.0,0.0,0.0,0.0,True
1752828746.8648438,175.99382658121615,-33.15538694213101,0.0,0.0,0.0,0.0,0.0,True
1752828746.8759797,175.99382658121615,-33.470978974582536,0.0,0.0,0.0,0.0,0.0,True
1752828746.8875544,175.99382658121615,-33.77669067689429,0.0,0.0,0.0,0.0,0.0,True
1752828746.898668,175.99382658121615,-34.072467881288254,0.0,0.0,0.0,0.0,0.0,True
1752828746.9100032,175.99382658121615,-34.35826424201601,0.0,0.0,0.0,0.0,0.0,True
1752828746.9215357,175.99382658121615,-34.6340294573537,0.0,0.0,0.0,0.0,0.0,True
1752828746.932964,175.99382658121615,-34.8996955956176,0.0,0.0,0.0,0.0,0.0,True
1752828746.9440014,175.99382658121615,-35.155276924321164,0.0,0.0,0.0,0.0,0.0,True
1752828746.9552197,175.99382658121615,-35.40078765647771,0.0,0.0,0.0,0.0,0.0,True
1752828746.9661362,175.99382658121615,-35.63627783084941,0.0,0.0,0.0,0.0,0.0,True
1752828746.9774978,175.99382658121615,-35.861732585881505,0.0,0.0,0.0,0.0,0.0,True
1752828746.9889884,175.99382658121615,-36.07714324415536,0.0,0.0,0.0,0.0,0.0,True
1752828747.0003498,175.99382658121615,-36.28253319978147,0.0,0.0,0.0,0.0,0.0,True
1752828747.0116248,175.99382658121615,-36.47801123716695,0.0,0.0,0.0,0.0,0.0,True
1752828747.023008,175.99382658121615,-36.66351688530464,0.0,0.0,0.0,0.0,0.0,True
1752828747.034515,175.99382658121615,-36.83916825519215,0.0,0.0,0.0,0.0,0.0,True
1752828747.046203,175.99382658121615,-37.00505519953778,0.0,0.0,0.0,0.0,0.0,True
1752828747.0570972,175.99382658121615,-37.16125644540897,0.0,0.0,0.0,0.0,0.0,True
1752828747.0684037,175.99382658121615,-37.30795400477981,0.0,0.0,0.0,0.0,0.0,True
1752828747.0794857,175.99382658121615,-37.44528617061118,0.0,0.0,0.0,0.0,0.0,True
1752828747.0905564,175.99382658121615,-37.57326031434049,0.0,0.0,0.0,0.0,0.0,True
1752828747.1018238,175.99382658121615,-37.69201475456729,0.0,0.0,0.0,0.0,0.0,True
1752828747.113187,175.99382658121615,-37.8016352045867,0.0,0.0,0.0,0.0,0.0,True
1752828747.1242676,175.99382658121615,-37.902302024668266,0.0,0.0,0.0,0.0,0.0,True
1752828747.1357248,175.99382658121615,-37.99422825350029,0.0,0.0,0.0,0.0,0.0,True
1752828747.1470122,175.99382658121615,-38.07729827245619,0.0,0.0,0.0,0.0,0.0,True
1752828747.1583083,175.99382658121615,-38.15185116597774,0.0,0.0,0.0,0.0,0.0,True
1752828747.1696515,175.99382658121615,-38.21778349041193,0.0,0.0,0.0,0.0,0.0,True
1752828747.1808543,175.99382658121615,-38.275570589560296,0.0,0.0,0.0,0.0,0.0,True
1752828747.1921628,175.99382658121615,-38.32527010011263,0.0,0.0,0.0,0.0,0.0,True
1752828747.2043364,175.99382658121615,-38.366316052516076,0.0,0.0,0.0,0.0,0.0,True
1752828747.2152884,175.99382658121615,-38.39969222376761,0.0,0.0,0.0,0.0,0.0,True
1752828747.2263825,175.99382658121615,-38.425514293559125,0.0,0.0,0.0,0.0,0.0,True
1752828747.2376587,175.95537384603645,-38.443239533693166,0.0,0.0,0.0,0.0,0.0,True
1752828747.2484734,175.9608670939193,-38.453856265964035,0.0,0.0,0.0,0.0,0.0,True
1752828747.259456,175.95537384603645,-38.45749751700207,0.0,0.0,0.0,0.0,0.0,True
1752828747.2708185,175.94988059815367,-38.45402223775088,0.0,0.0,0.0,0.0,0.0,True
1752828747.2822406,175.92790760662243,-38.443093191683204,0.0,0.0,0.0,0.0,0.0,True
1752828747.2933242,175.87297512779432,-38.424847322532685,0.0,0.0,0.0,0.0,0.0,True
